,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,248.787,1.94059,,1.45764
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
-00:00:28:581,,245.737,0.277221,33.8996,1.05363,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,0.875,0.125,0.875,-0.625,0.125,0,5.60175e-317,2.08697e-305
-00:00:29:594,,244.906,-0.831656,33.9059,1.05383,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,1,0.25,1,-0.625,0.25,0,5.60175e-317,2.08697e-305
-00:00:30:602,,245.737,0.831656,34.0231,1.05747,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,0.9375,0.0625,0.9375,-0.5625,0.0625,0,5.60175e-317,2.08697e-305
-00:00:31:603,,245.46,-0.277221,33.9525,1.05528,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.6875,1.0625,0.25,1.0625,-0.6875,0.25,0,5.60175e-317,2.08697e-305
-00:00:32:616,,245.183,-0.277219,33.7385,1.04863,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.6875,1.0625,0.125,1.0625,-0.6875,0.125,0,5.60175e-317,2.08697e-305
-00:00:33:629,,245.183,0,33.9299,1.05458,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.6875,0.9375,0.0625,0.9375,-0.6875,0.0625,0,5.60175e-317,2.08697e-305
-00:00:34:642,,245.46,0.277219,33.8826,1.05311,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.6875,0.9375,0.1875,0.9375,-0.6875,0.1875,0,5.60175e-317,2.08697e-305
-00:00:35:656,,245.46,0,33.9117,1.05401,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,1,0.125,1,-0.5,0.125,0,5.60175e-317,2.08697e-305
-00:00:36:668,,245.46,0,33.8044,1.05067,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1.0625,0.125,1.0625,-0.5625,0.125,0,5.60175e-317,2.08697e-305
-00:00:37:681,,245.183,-0.277219,33.9418,1.05495,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.6875,1,0.0625,1,-0.6875,0.0625,0,5.60175e-317,2.08697e-305
-00:00:38:694,,245.183,0,33.809,1.05082,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.9375,0.125,0.9375,-0.5,0.125,0,5.60175e-317,2.08697e-305
-00:00:39:707,,245.183,0,33.8804,1.05304,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,0.9375,0.1875,0.9375,-0.625,0.1875,0,5.60175e-317,2.08697e-305
-00:00:40:721,,244.906,-0.277217,33.8741,1.05284,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.6875,0.875,0.125,0.875,-0.6875,0.125,0,5.60175e-317,2.08697e-305
-00:00:41:733,,244.629,-0.277214,33.738,1.04861,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,0.9375,0.25,0.9375,-0.625,0.25,0,5.60175e-317,2.08697e-305
