,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,4.00545e-307,8.90258e-307,,4.29443
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
-00:00:43:265,,0,0,128.932,4.00735,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.6875,-0.5,0.125,-0.5,3.6875,0.125,-50.3333,8.90258e-307,8.9003e-307
-00:00:44:793,,0,0,128.885,4.00589,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.625,-0.5625,0.125,-0.5625,3.625,0.125,-49.6667,8.90258e-307,8.9003e-307
-00:00:46:297,,0,0,129.342,4.02006,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',5.375,-3.875,-1.5,-3.875,5.375,-1.5,-47.8333,8.90258e-307,8.9003e-307
-00:00:47:824,,0,0,132.066,4.10474,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',-6.125,0.5,3.25,0.5,-6.125,3.25,-51.1667,8.90258e-307,8.9003e-307
-00:00:49:339,,0,0,132.115,4.10626,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',22.1875,6.625,0.75,6.625,22.1875,0.75,-49,8.90258e-307,8.9003e-307
-00:00:50:872,,0,0,127.872,3.97438,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',-4.5625,8.5,95.1875,8.5,-4.5625,95.1875,-40.6667,8.90258e-307,8.9003e-307
-00:00:52:380,,0,0,133.716,4.15603,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',23.0625,30.5625,-245.75,30.5625,23.0625,-245.75,-44.5,8.90258e-307,8.9003e-307
-00:00:53:921,,0,0,125.383,3.89701,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',-4.4375,11.125,250.125,11.125,-4.4375,250.125,-52.3333,8.90258e-307,8.9003e-307
-00:00:55:433,,0,0,132.409,4.1154,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',36.8125,80.625,-281.75,80.625,36.8125,-281.75,-48,8.90258e-307,8.9003e-307
-00:00:56:949,,0,0,138.169,4.29443,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',58.5625,-22.1875,-214.375,-22.1875,58.5625,-214.375,-23,8.90258e-307,8.9003e-307
-00:00:58:473,,0,0,129.268,4.01778,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',-7.4375,-48.9375,219.813,-48.9375,-7.4375,219.813,-48.8333,8.90258e-307,8.9003e-307
-00:00:59:996,,0,0,126.532,3.93275,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',1.125,7,-232.875,7,1.125,-232.875,-51.1667,8.90258e-307,8.9003e-307
-00:01:01:527,,0,0,133.714,4.15595,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',1.5625,22.1875,174.438,22.1875,1.5625,174.438,-37.3333,8.90258e-307,8.9003e-307
-00:01:03:032,,0,0,128.368,3.98981,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',8.0625,9.375,152.125,9.375,8.0625,152.125,-53.3333,8.90258e-307,8.9003e-307
-00:01:04:577,,0,0,127.392,3.95947,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',21.5,-6.9375,-225.5,-6.9375,21.5,-225.5,-43,8.90258e-307,8.9003e-307
-00:01:06:116,,0,0,128.002,3.97842,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',-34.6875,302.625,8.375,302.625,-34.6875,8.375,-53.3333,8.90258e-307,8.9003e-307
-00:01:07:642,,0,0,120.017,3.73026,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',37.5,-407.563,0.25,-407.563,37.5,0.25,-47.5,8.90258e-307,8.9003e-307
-00:01:09:163,,0,0,131.533,4.08818,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',7.5625,141.938,-22.9375,141.938,7.5625,-22.9375,-48.8333,8.90258e-307,8.9003e-307
-00:01:10:675,,0,0,131.668,4.09236,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',32.625,-75.1875,7.6875,-75.1875,32.625,7.6875,-54.6667,8.90258e-307,8.9003e-307
-00:01:12:196,,0,0,132.822,4.12825,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',-12.625,46.3125,-4.0625,46.3125,-12.625,-4.0625,-49.6667,8.90258e-307,8.9003e-307
-00:01:13:723,,0,0,130.338,4.05102,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',-14.9375,-27.25,-20.8125,-27.25,-14.9375,-20.8125,-54.8333,8.90258e-307,8.9003e-307
-00:01:15:248,,0,0,128.495,3.99374,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',1.5625,4.9375,1,4.9375,1.5625,1,-52.6667,8.90258e-307,8.9003e-307
-00:01:16:776,,0,0,128.027,3.97922,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.1875,1,-0.0625,1,3.1875,-0.0625,-54,8.90258e-307,8.9003e-307
-00:01:18:281,,0,0,128.871,4.00545,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',4.875,-0.4375,0.4375,-0.4375,4.875,0.4375,-52.8333,8.90258e-307,8.9003e-307
-00:01:19:825,,0,0,129.118,4.01311,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.75,-2.1875,-1.3125,-2.1875,3.75,-1.3125,-52.6667,8.90258e-307,8.9003e-307
-00:01:21:331,,0,0,126.716,3.93846,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',-4.75,-140.438,34.25,-140.438,-4.75,34.25,-50.8333,8.90258e-307,8.9003e-307
-00:01:22:859,,0,0,131.577,4.08954,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',34.5625,245,-33.4375,245,34.5625,-33.4375,-45.1667,8.90258e-307,8.9003e-307
-00:01:24:364,,0,0,133.41,4.14653,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',21.9375,-10.125,0.8125,-10.125,21.9375,0.8125,-52.3333,8.90258e-307,8.9003e-307
-00:01:25:909,,0,0,125.924,3.91384,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',34.75,146.813,-33.625,146.813,34.75,-33.625,-49.6667,8.90258e-307,8.9003e-307
-00:01:27:427,,0,0,128.83,4.00416,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',2.8125,77.625,-7.75,77.625,2.8125,-7.75,-52.8333,8.90258e-307,8.9003e-307
-00:01:28:959,,0,0,124.196,3.86014,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',54.875,-186.063,35.125,-186.063,54.875,35.125,-50.8333,8.90258e-307,8.9003e-307
-00:01:30:483,,0,0,125.707,3.90711,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',2.6875,220.188,-7.25,220.188,2.6875,-7.25,-48.6667,8.90258e-307,8.9003e-307
-00:01:32:074,,0,0,114.662,3.56381,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',-4.25,-455.313,46.8125,-455.313,-4.25,46.8125,-46.1667,8.90258e-307,8.9003e-307
-00:01:33:510,,0,0,132.981,4.13317,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',19.125,100.938,-8.125,100.938,19.125,-8.125,-50.5,8.90258e-307,8.9003e-307
-00:01:35:031,,0,0,131.191,4.07754,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',8,16.25,-4.4375,16.25,8,-4.4375,-50,8.90258e-307,8.9003e-307
-00:01:36:560,,0,0,129.565,4.027,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.8125,17.4375,-0.4375,17.4375,3.8125,-0.4375,-48.3333,8.90258e-307,8.9003e-307
-00:01:38:064,,0,0,128.99,4.00913,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.0625,-3.0625,0.1875,-3.0625,3.0625,0.1875,-49.3333,8.90258e-307,8.9003e-307
-00:01:39:593,,0,0,129.342,4.02008,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',4.375,0.5,0,0.5,4.375,0,-49.3333,8.90258e-307,8.9003e-307
-00:01:41:115,,0,0,129.503,4.02507,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',5.625,-0.5,-0.3125,-0.5,5.625,-0.3125,-49,8.90258e-307,8.9003e-307
-00:01:42:642,,0,0,129.521,4.02566,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',5.1875,2.6875,-0.0625,2.6875,5.1875,-0.0625,-48.8333,8.90258e-307,8.9003e-307
-00:01:44:181,,0,0,128.158,3.98328,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',0.875,-24.9375,-9.4375,-24.9375,0.875,-9.4375,-49,8.90258e-307,8.9003e-307
-00:01:45:726,,0,0,132.514,4.11867,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',49.625,-61.8125,2.125,-61.8125,49.625,2.125,-50.3333,8.90258e-307,8.9003e-307
-00:01:47:230,,0,0,129.03,4.01039,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.75,-0.5,0.125,-0.5,3.75,0.125,-48.1667,8.90258e-307,8.9003e-307
-00:01:48:759,,0,0,129.045,4.01086,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.625,-0.5625,0.5625,-0.5625,3.625,0.5625,-50,8.90258e-307,8.9003e-307
-00:01:50:264,,0,0,128.919,4.00693,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.6875,-0.5625,0.0625,-0.5625,3.6875,0.0625,-50.3333,8.90258e-307,8.9003e-307
-00:01:51:808,,0,0,129.029,4.01037,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.6875,-0.5,0.1875,-0.5,3.6875,0.1875,-49.6667,8.90258e-307,8.9003e-307
-00:01:53:331,,0,0,129.061,4.01135,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.6875,-0.5,0.0625,-0.5,3.6875,0.0625,-49.1667,8.90258e-307,8.9003e-307
-00:01:54:859,,0,0,129.03,4.01038,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.6875,-0.4375,0.125,-0.4375,3.6875,0.125,-48.1667,8.90258e-307,8.9003e-307
-00:01:56:364,,0,0,129.139,4.01378,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.75,-0.5625,0.125,-0.5625,3.75,0.125,-49.5,8.90258e-307,8.9003e-307
-00:01:57:894,,0,0,129.014,4.00988,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.6875,-0.5,0.125,-0.5,3.6875,0.125,-48.3333,8.90258e-307,8.9003e-307
-00:01:59:415,,0,0,128.984,4.00894,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.625,-0.5625,0.125,-0.5625,3.625,0.125,-49.5,8.90258e-307,8.9003e-307
-00:02:00:943,,0,0,128.982,4.00889,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.6875,-0.5625,0.1875,-0.5625,3.6875,0.1875,-50,8.90258e-307,8.9003e-307
