,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,29971.1,4373.66,,22.554
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
00:00:09:128,,9830.51,1439.33,52.4321,1.62964,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-135.313,2.5,-3.3125,2.5,-135.313,-3.3125,0,4.55856e-312,3.14082e-317
00:00:10:143,,14204.2,4373.66,34.1718,1.06209,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-275.188,-5.5,-5.4375,-5.5,-275.188,-5.4375,0,4.55856e-312,3.14082e-317
00:00:11:160,,15535.1,1330.9,29.8388,0.927421,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-303.563,-4.9375,-6.75,-4.9375,-303.563,-6.75,0,4.55856e-312,3.14082e-317
00:00:12:175,,18848.1,3312.98,15.6626,0.48681,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-385.5,-10.6875,-4.5625,-10.6875,-385.5,-4.5625,0,4.55856e-312,3.14082e-317
00:00:13:191,,20664.1,1816.04,15.0568,0.46798,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-440.688,-41.5625,-16.125,-41.5625,-440.688,-16.125,0,4.55856e-312,3.14082e-317
00:00:14:208,,21544.1,879.985,20.8237,0.647222,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-472.375,-70.5,-38.125,-70.5,-472.375,-38.125,0,4.55856e-312,3.14082e-317
00:00:15:224,,22356.4,812.335,18.5932,0.577894,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-563.5,-38.5625,-65,-38.5625,-563.5,-65,0,4.55856e-312,3.14082e-317
00:00:16:240,,23326.8,970.365,25.6288,0.79657,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-1131.13,-16.75,26,-16.75,-1131.13,26,0,4.55856e-312,3.14082e-317
00:00:17:256,,24073.4,746.648,32.535,1.01122,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-1253.94,-7.5,-65.4375,-7.5,-1253.94,-65.4375,0,4.55856e-312,3.14082e-317
00:00:18:271,,24723.3,649.852,18.0543,0.561144,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-1004.69,26.9375,-32.8125,26.9375,-1004.69,-32.8125,0,4.55856e-312,3.14082e-317
00:00:19:288,,25915.6,1192.29,6.96468,0.216469,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-552.125,-9.5625,-24.6875,-9.5625,-552.125,-24.6875,0,4.55856e-312,3.14082e-317
00:00:20:303,,26418.5,502.939,4.44012,0.138003,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-426,-3.125,1.5,-3.125,-426,1.5,0,4.55856e-312,3.14082e-317
00:00:21:320,,26913.3,494.771,3.90845,0.121479,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-366.063,3.1875,-19.9375,3.1875,-366.063,-19.9375,0,4.55856e-312,3.14082e-317
00:00:22:335,,27345.1,431.828,2.88262,0.0895946,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-299.5,6.625,-3.75,6.625,-299.5,-3.75,0,4.55856e-312,3.14082e-317
00:00:23:352,,27749,403.873,2.30697,0.0717031,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-250.813,-3.8125,-2.1875,-3.8125,-250.813,-2.1875,0,4.55856e-312,3.14082e-317
00:00:24:368,,28456.8,707.797,1.87579,0.0583013,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-208.5,-1.375,-10.8125,-1.375,-208.5,-10.8125,0,4.55856e-312,3.14082e-317
00:00:25:383,,28761.2,304.394,1.72825,0.0537156,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-179.5,4.9375,-4.25,4.9375,-179.5,-4.25,0,4.55856e-312,3.14082e-317
00:00:26:399,,29031.5,270.307,1.36191,0.0423294,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-155.938,2.5,-5.5625,2.5,-155.938,-5.5625,0,4.55856e-312,3.14082e-317
00:00:27:415,,29280.1,248.631,1.29374,0.0402109,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-136.875,7.6875,-3.4375,7.6875,-136.875,-3.4375,0,4.55856e-312,3.14082e-317
00:00:28:432,,29489.4,209.293,1.23972,0.0385316,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-120.375,-1.6875,1.75,-1.6875,-120.375,1.75,0,4.55856e-312,3.14082e-317
00:00:29:447,,29649,159.574,1.09225,0.0339481,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-107.125,-1.0625,-6.6875,-1.0625,-107.125,-6.6875,0,4.55856e-312,3.14082e-317
00:00:30:463,,29779.4,130.429,1.17777,0.0366064,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-95.25,7.4375,-4.25,7.4375,-95.25,-4.25,0,4.55856e-312,3.14082e-317
00:00:31:480,,29936.4,157.034,0.924458,0.0287331,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-75,-9.3125,6.375,-9.3125,-75,6.375,0,4.55856e-312,3.14082e-317
00:00:32:496,,29971.1,34.6402,0.984995,0.0306146,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-76,-11.6875,-11.8125,-11.6875,-76,-11.8125,0,4.55856e-312,3.14082e-317
00:00:33:512,Apogee,29967.6,-3.4661,1.55518,0.0483364,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-69.9375,5,-20.6875,5,-69.9375,-20.6875,0,4.55856e-312,3.14082e-317
00:00:34:528,,29965,-2.59927,725.651,22.554,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-96.25,230.813,-207.063,230.813,-96.25,-207.063,0,4.55856e-312,3.14082e-317
00:00:35:544,,29907.9,-57.1184,22.6943,0.705363,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,11.5,284.938,-4.25,284.938,11.5,-4.25,0,4.55856e-312,3.14082e-317
00:00:36:560,,29903.6,-4.32206,234.617,7.29214,0,43.7672,-120.627,N 43° 46.0327',W 120° 37.6177',715.188,-615.063,38.125,-615.063,715.188,38.125,0,4.55856e-312,3.14082e-317
00:00:37:575,,29856.9,-46.6326,23.9499,0.744386,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,609.063,406.938,-34.3125,406.938,609.063,-34.3125,0,4.55856e-312,3.14082e-317
00:00:38:592,,29763.1,-93.8755,51.1842,1.59085,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,86.75,-197.125,-348.313,-197.125,86.75,-348.313,0,4.55856e-312,3.14082e-317
00:00:39:608,,29534.5,-228.536,81.5646,2.53511,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,57.375,-219.313,455.938,-219.313,57.375,455.938,0,4.55856e-312,3.14082e-317
00:00:40:624,,29566.1,31.5507,48.3678,1.50332,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-130.75,255.75,46.125,255.75,-130.75,46.125,0,4.55856e-312,3.14082e-317
00:00:41:640,,29328.3,-237.822,74.5833,2.31812,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,234.438,-111.063,-428.938,-111.063,234.438,-428.938,0,4.55856e-312,3.14082e-317
00:00:42:656,,28965.5,-362.743,39.7464,1.23536,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-149.313,-24.9375,-382.063,-24.9375,-149.313,-382.063,0,4.55856e-312,3.14082e-317
00:00:43:672,,28915.5,-49.987,184.819,5.74437,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-1088.06,525.625,-117.688,525.625,-1088.06,-117.688,0,4.55856e-312,3.14082e-317
00:00:44:690,,28792.6,-122.896,38.1192,1.18478,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-906.938,186.625,-393.938,186.625,-906.938,-393.938,0,4.55856e-312,3.14082e-317
00:00:45:704,,28547.7,-244.906,70.7606,2.19931,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-228.813,-72.0625,-97,-72.0625,-228.813,-97,0,4.55856e-312,3.14082e-317
00:00:46:720,,28429,-118.746,68.0609,2.1154,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,137.938,118.5,-466.125,118.5,137.938,-466.125,0,4.55856e-312,3.14082e-317
00:00:47:736,,28315.7,-113.333,144.082,4.47821,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,333.438,380.25,128,380.25,333.438,128,0,4.55856e-312,3.14082e-317
00:00:48:752,,28185,-130.666,235.649,7.3242,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,546.625,80,463.438,80,546.625,463.438,0,4.55856e-312,3.14082e-317
00:00:49:768,,28049.3,-135.663,60.4573,1.87907,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-1574.06,-218.5,-253.813,-218.5,-1574.06,-253.813,0,4.55856e-312,3.14082e-317
00:00:50:785,,27776.9,-272.45,219.727,6.82935,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-1594.31,159.25,-82.9375,159.25,-1594.31,-82.9375,0,4.55856e-312,3.14082e-317
00:00:51:800,,27636.1,-140.735,177.268,5.50967,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,525.063,-229.938,219.813,-229.938,525.063,219.813,0,4.55856e-312,3.14082e-317
00:00:52:817,,27549,-87.0889,83.1499,2.58438,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-7.875,-135.25,-708,-135.25,-7.875,-708,0,4.55856e-312,3.14082e-317
00:00:53:833,,27558.5,9.48677,246.014,7.64635,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,1531.81,-11.8125,-329.5,-11.8125,1531.81,-329.5,0,4.55856e-312,3.14082e-317
00:00:54:849,,27313.8,-244.781,41.2107,1.28087,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,547.313,185.875,158.438,185.875,547.313,158.438,0,4.55856e-312,3.14082e-317
00:00:55:864,,27275.4,-38.3626,227.653,7.07568,0,43.783,-120.635,N 43° 46.9825',W 120° 38.0881',-34.75,-119,-52.625,-119,-34.75,-52.625,0,4.55856e-312,3.14082e-317
00:00:56:880,,27134.9,-140.452,306.877,9.53804,0,43.783,-120.635,N 43° 46.9784',W 120° 38.0932',-1145.69,-310.313,-458.563,-310.313,-1145.69,-458.563,0,4.55856e-312,3.14082e-317
00:00:57:896,,26711.8,-423.112,105.73,3.28618,0,43.7827,-120.635,N 43° 46.964',W 120° 38.1277',49.9375,-9.1875,-425.813,-9.1875,49.9375,-425.813,0,4.55856e-312,3.14082e-317
00:00:58:913,,26559.1,-152.771,261.392,8.12432,0,43.7827,-120.635,N 43° 46.9613',W 120° 38.1203',-1886.31,-184.25,-292.75,-184.25,-1886.31,-292.75,0,4.55856e-312,3.14082e-317
00:00:59:929,,26474.6,-84.4143,309.893,9.63178,0,43.7827,-120.635,N 43° 46.9606',W 120° 38.1206',-911.938,302,-138.563,302,-911.938,-138.563,0,4.55856e-312,3.14082e-317
00:01:00:944,,26226.7,-247.902,293.496,9.12214,0,43.7826,-120.635,N 43° 46.955',W 120° 38.1219',-489,55.4375,59.1875,55.4375,-489,59.1875,0,4.55856e-312,3.14082e-317
00:01:01:961,,26238.8,12.04,212.682,6.61037,0,43.7824,-120.635,N 43° 46.9438',W 120° 38.1213',-594.875,-24.4375,-214.938,-24.4375,-594.875,-214.938,0,4.55856e-312,3.14082e-317
00:01:02:977,,26051.3,-187.512,165.333,5.13872,0,43.7823,-120.635,N 43° 46.9386',W 120° 38.1152',16.625,40.4375,-333.625,40.4375,16.625,-333.625,0,4.55856e-312,3.14082e-317
00:01:03:992,,25895.5,-155.766,192.83,5.99336,0,43.7823,-120.635,N 43° 46.9357',W 120° 38.112',16,-92.8125,-262.938,-92.8125,16,-262.938,0,4.55856e-312,3.14082e-317
00:01:05:009,,25748.8,-146.743,210.238,6.5344,0,43.7822,-120.635,N 43° 46.9329',W 120° 38.1164',122.375,-150.375,90.875,-150.375,122.375,90.875,0,4.55856e-312,3.14082e-317
00:01:06:024,,25653.6,-95.1787,231.274,7.18822,0,43.7821,-120.635,N 43° 46.9274',W 120° 38.1213',159.75,-140,-324.75,-140,159.75,-324.75,0,4.55856e-312,3.14082e-317
00:01:07:041,,25555.1,-98.5146,220.591,6.8562,0,43.782,-120.635,N 43° 46.9186',W 120° 38.1207',140.063,-71.5,-326.313,-71.5,140.063,-326.313,0,4.55856e-312,3.14082e-317
00:01:08:056,,25381.7,-173.366,222.472,6.91466,0,43.7819,-120.635,N 43° 46.9129',W 120° 38.1162',109.75,57.625,-263.75,57.625,109.75,-263.75,0,4.55856e-312,3.14082e-317
00:01:09:057,,25256.6,-125.128,237.496,7.3816,0,43.7819,-120.635,N 43° 46.9133',W 120° 38.1147',106.875,25.125,-253.813,25.125,106.875,-253.813,0,4.55856e-312,3.14082e-317
00:01:10:072,,25145.7,-110.823,192.113,5.97106,0,43.7819,-120.635,N 43° 46.912',W 120° 38.1193',154,84.6875,-266.688,84.6875,154,-266.688,0,4.55856e-312,3.14082e-317
00:01:11:089,,24997.2,-148.503,221.887,6.89647,0,43.7818,-120.635,N 43° 46.9052',W 120° 38.1251',89.375,36.1875,-315.125,36.1875,89.375,-315.125,0,4.55856e-312,3.14082e-317
00:01:12:104,,24775.3,-221.959,216.699,6.73522,0,43.7816,-120.635,N 43° 46.8967',W 120° 38.1244',-31.8125,19.75,-195.313,19.75,-31.8125,-195.313,0,4.55856e-312,3.14082e-317
00:01:13:120,,24711.2,-64.1027,246.362,7.65719,0,43.7816,-120.635,N 43° 46.8947',W 120° 38.1181',79.25,62,-312.813,62,79.25,-312.813,0,4.55856e-312,3.14082e-317
00:01:14:136,,24561.5,-149.697,225.98,7.0237,0,43.7816,-120.635,N 43° 46.8946',W 120° 38.1214',21.3125,84.1875,-258,84.1875,21.3125,-258,0,4.55856e-312,3.14082e-317
00:01:15:153,,24390.1,-171.39,186.379,5.79283,0,43.7815,-120.635,N 43° 46.8896',W 120° 38.1278',40.1875,153.75,-268,153.75,40.1875,-268,0,4.55856e-312,3.14082e-317
00:01:16:168,,24258.9,-131.166,181.925,5.65441,0,43.7814,-120.635,N 43° 46.8818',W 120° 38.1268',71.5625,197.875,-234.813,197.875,71.5625,-234.813,0,4.55856e-312,3.14082e-317
00:01:17:185,,24110.3,-148.641,151.087,4.69594,0,43.7813,-120.635,N 43° 46.8777',W 120° 38.1228',-116.813,8.125,-514.875,8.125,-116.813,-514.875,0,4.55856e-312,3.14082e-317
00:01:18:200,,23910.6,-199.707,219.893,6.83451,0,43.7813,-120.635,N 43° 46.8778',W 120° 38.1219',-83.6875,-30.4375,-406.375,-30.4375,-83.6875,-406.375,0,4.55856e-312,3.14082e-317
00:01:19:216,,23750.1,-160.513,212.471,6.60381,0,43.7813,-120.635,N 43° 46.8752',W 120° 38.1291',-60.375,-90.3125,-391.313,-90.3125,-60.375,-391.313,0,4.55856e-312,3.14082e-317
00:01:20:232,,23617.8,-132.251,184.548,5.73595,0,43.7812,-120.636,N 43° 46.8697',W 120° 38.1352',-3.375,-88.9375,-343.063,-88.9375,-3.375,-343.063,0,4.55856e-312,3.14082e-317
00:01:21:249,,23506.6,-111.202,209.528,6.51235,0,43.781,-120.636,N 43° 46.8621',W 120° 38.1365',-3.25,-6.5,-224.938,-6.5,-3.25,-224.938,0,4.55856e-312,3.14082e-317
00:01:22:265,,23383.7,-122.958,200.416,6.22914,0,43.781,-120.636,N 43° 46.8574',W 120° 38.1329',16.3125,-59.0625,-318,-59.0625,16.3125,-318,0,4.55856e-312,3.14082e-317
00:01:23:281,,23241,-142.65,215.24,6.68988,0,43.781,-120.636,N 43° 46.8582',W 120° 38.1312',87.875,-68.875,-343.625,-68.875,87.875,-343.625,0,4.55856e-312,3.14082e-317
