Time----------,Event----------,Altitude----------,Velocity----------,Acceleration----------,Latitude----------,Longitude----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
00:00:01:001,,-423.268,0,91170.5,43.7957,-120.652,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:02:003,,-422.958,0.309719,91179.7,43.7957,-120.652,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:03:017,,-423.887,-0.929149,112303,43.7957,-120.652,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:04:017,,-423.268,0.61943,91187.6,43.7957,-120.652,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:05:019,,-422.029,1.23889,91192.6,43.7957,-120.652,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:06:033,,-422.958,-0.929175,91166,43.7957,-120.652,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:07:035,,-423.268,-0.309719,91177.6,43.7957,-120.652,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:08:036,,-422.029,1.23889,91179,43.7957,-120.652,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:09:050,,-422.958,-0.929175,91192.8,43.7957,-120.652,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:10:052,,-422.958,0,91174.7,43.7957,-120.652,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:11:053,,-422.339,0.619447,91184.6,43.7957,-120.652,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:12:067,,-423.577,-1.23888,91197.7,43.7957,-120.652,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:13:069,,-424.816,-1.23884,91202.7,43.7957,-120.652,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:14:084,,-423.577,1.23884,91181.1,43.7957,-120.652,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:15:086,,-418.312,5.26557,39361.5,43.7957,-120.652,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:16:100,Launch,-204.506,213.806,76008.6,43.7958,-120.651,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:17:101,,258.895,463.401,75451.4,43.7958,-120.651,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:18:104,,1005.87,746.973,77178.9,43.7959,-120.651,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:19:117,,1944.5,938.636,80666.5,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:20:119,,2700.09,755.584,86280.1,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:21:133,,3557.89,857.802,111782,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:22:135,,4687.11,1129.22,91962.3,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:23:150,,6003.12,1316.01,92102.1,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:24:152,,7417.27,1414.15,64750.9,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:25:166,,8894.57,1477.3,64655.7,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:26:169,,10350.6,1456.06,64864.6,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:27:183,,11820.1,1469.44,92375.5,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:28:185,,13273.5,1453.39,92374.6,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:29:186,,14721.6,1448.11,92373,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:30:200,,16126.5,1404.95,92440.8,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:31:202,,17441.5,1315.03,92456.9,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:32:203,,18690,1248.43,92414.6,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:33:217,,19757.8,1067.8,92397.8,43.7922,-120.654,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:34:219,,20750.7,992.967,65152.7,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:35:233,,21857.7,1106.96,65156.9,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:36:236,,22837.9,980.17,65116.8,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:37:250,,23744.3,906.406,91939.9,43.7916,-120.654,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:38:252,,24610.4,866.141,92395.4,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:39:266,,25498.4,887.928,92385.7,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:40:268,,26475,976.608,64679.7,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:41:283,,27206.8,731.818,64775.2,43.7913,-120.654,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:42:285,,27836.4,629.569,65051.9,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:43:299,,28451.7,615.329,65254.7,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:44:302,,29006.2,554.523,65359.4,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:45:316,,29556.4,550.23,65374.3,43.7909,-120.654,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:46:317,,29998.2,441.719,65430.2,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:47:318,,30440.4,442.266,65448.2,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:48:319,,30837.3,396.866,65466.1,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:49:333,,31190.2,352.901,92607,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:50:335,,31549.8,359.654,92643,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:51:349,,31807.1,257.217,92640.2,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:52:352,,32048,240.979,92638.1,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:53:366,,32294.2,246.128,92650.1,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:54:369,,32488,193.835,92645.8,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:55:371,,32588.8,100.842,92651.5,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:56:383,,32692,103.176,92639.5,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:57:385,,32749.1,57.0714,92623.9,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:58:399,,32789.8,40.7055,65451,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:00:59:402,,32804.3,14.5535,4636.58,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:01:00:416,Apogee,32763.6,-40.7288,90894.8,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:01:01:418,,32862.6,99.0265,87436.7,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:01:02:432,Apogee,32655.3,-207.318,89450.4,43.79,-120.654,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:01:03:435,,32635.1,-20.2534,82248.8,43.79,-120.654,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:01:04:436,,32553.3,-81.8134,68080.9,43.79,-120.654,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:01:05:449,,32463.1,-90.1704,63254.5,43.7901,-120.654,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:01:06:450,,32274.2,-188.895,64292.5,43.7902,-120.654,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:01:07:452,,32048,-226.16,7959.92,43.7903,-120.654,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:01:08:466,,32003.8,-44.2402,56865.4,43.7904,-120.654,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:01:09:468,,31851.9,-151.903,63373.7,43.7905,-120.654,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:01:10:483,,31653.5,-198.362,9057.65,43.7908,-120.654,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:01:11:485,,31571.1,-82.431,64341,43.791,-120.654,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:01:12:499,,31606.3,35.1629,61872.4,43.7913,-120.654,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:01:13:501,,31282.4,-323.89,65394.1,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:01:14:502,,31113.8,-168.605,61966.1,43.7918,-120.654,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:01:15:516,,30910.2,-203.583,89957.8,43.792,-120.654,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:01:16:518,,30743.1,-167.091,63541,43.7924,-120.654,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
00:01:17:535,,30876.9,133.767,7968.12,43.7927,-120.654,0,0,0,0,0,0,0,4.24399e-314,7.6604e-312
