,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,32862.6,1477.3,,112303
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
00:00:15:214,,17441.5,1315.03,2.97471e+06,92456.9,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,60750,135,65514,135,60750,65514,0,1.39096e-307,1.39067e-307
00:00:16:231,,18690,1248.43,2.97335e+06,92414.6,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,60710,164,14,164,60710,14,0,1.39096e-307,1.39067e-307
00:00:17:232,,19757.8,1067.8,2.97281e+06,92397.8,1,43.7922,-120.654,N 43° 47.5323',W 120° 39.2191',60526,256,7,256,60526,7,0,1.39096e-307,1.39067e-307
00:00:18:248,,20750.7,992.967,2.09622e+06,65152.7,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,60016,312,46,312,60016,46,0,1.39096e-307,1.39067e-307
00:00:19:265,,21857.7,1106.96,2.09636e+06,65156.9,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,59423,447,109,447,59423,109,0,1.39096e-307,1.39067e-307
00:00:20:281,,22837.9,980.17,2.09507e+06,65116.8,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,59552,565,320,565,59552,320,0,1.39096e-307,1.39067e-307
00:00:21:298,,23744.3,906.406,2.95807e+06,91939.9,1,43.7916,-120.654,N 43° 47.4989',W 120° 39.2314',59017,772,577,772,59017,577,0,1.39096e-307,1.39067e-307
00:00:22:315,,24610.4,866.141,2.97273e+06,92395.4,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,59116,915,65355,915,59116,65355,0,1.39096e-307,1.39067e-307
00:00:23:332,,25498.4,887.928,2.97242e+06,92385.7,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,58057,349,826,349,58057,826,0,1.39096e-307,1.39067e-307
00:00:24:348,,26475,976.608,2.081e+06,64679.7,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,51214,65047,65111,65047,51214,65111,0,1.39096e-307,1.39067e-307
00:00:25:364,,27206.8,731.818,2.08408e+06,64775.2,1,43.7913,-120.654,N 43° 47.4802',W 120° 39.238',53700,370,65389,370,53700,65389,0,1.39096e-307,1.39067e-307
00:00:26:365,,27836.4,629.569,2.09298e+06,65051.9,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,55770,273,65508,273,55770,65508,0,1.39096e-307,1.39067e-307
00:00:27:381,,28451.7,615.329,2.09951e+06,65254.7,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,57692,70,65296,70,57692,65296,0,1.39096e-307,1.39067e-307
