Time----------,Event----------,Altitude----------,Velocity----------,Acceleration----------,Latitude----------,Longitude----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
00:00:51:637,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:52:650,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:53:663,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:54:676,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:55:689,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:56:702,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:57:716,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:58:729,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:59:742,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:01:00:755,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:01:01:768,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:01:02:781,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:01:03:794,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:01:04:808,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:01:05:820,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
