,,Max Altitude,Max Velocity,,Max Acceleration(G),,,,,,,,,,,,,
,,398.593,1.95,,3.10161,,,,,,,,,,,,,
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
-00:00:28:360,,393.579,0,34.0563,1.0585,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.9375,0,0.9375,-0.5,0,0,6.95E-308,1.45357e-311
-00:00:29:370,,392.743,-0.835646,33.7969,1.05044,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,0.9375,-0.125,0.9375,-0.5625,-0.125,0,6.95E-308,1.45357e-311
-00:00:30:384,,393.021,0.278546,34.0393,1.05798,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,1.125,-0.0625,1.125,-0.5,-0.0625,0,6.95E-308,1.45357e-311
-00:00:31:397,,392.743,-0.278546,34.023,1.05747,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,1,-0.1875,1,-0.625,-0.1875,0,6.95E-308,1.45357e-311
-00:00:32:410,,392.743,0,33.7319,1.04842,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1,-0.25,1,-0.5625,-0.25,0,6.95E-308,1.45357e-311
-00:00:33:423,,393.021,0.278546,33.7478,1.04891,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,0.9375,-0.1875,0.9375,-0.4375,-0.1875,0,6.95E-308,1.45357e-311
-00:00:34:436,,393.021,0,33.942,1.05495,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,1,-0.1875,1,-0.5,-0.1875,0,6.95E-308,1.45357e-311
-00:00:35:449,,393.3,0.278549,33.942,1.05495,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.75,-0.1875,0.75,-0.5,-0.1875,0,6.95E-308,1.45357e-311
-00:00:36:462,,393.3,0,33.7646,1.04944,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,0.8125,-0.0625,0.8125,-0.4375,-0.0625,0,6.95E-308,1.45357e-311
-00:00:37:477,,393.3,0,33.7638,1.04941,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.875,-0.0625,0.875,-0.5,-0.0625,0,6.95E-308,1.45357e-311
-00:00:38:489,,393.579,0.278551,34.0235,1.05748,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.875,-0.1875,0.875,-0.5,-0.1875,0,6.95E-308,1.45357e-311
-00:00:39:501,,393.857,0.278553,33.8611,1.05244,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.8125,-0.0625,0.8125,-0.5,-0.0625,0,6.95E-308,1.45357e-311
-00:00:40:514,,393.3,-0.557104,33.8609,1.05243,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,1.125,-0.125,1.125,-0.625,-0.125,0,6.95E-308,1.45357e-311
-00:00:41:527,,393.579,0.278551,33.8287,1.05143,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,1,-0.0625,1,-0.4375,-0.0625,0,6.95E-308,1.45357e-311
-00:00:42:540,,393.3,-0.278551,33.9577,1.05544,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,0.875,-0.125,0.875,-0.625,-0.125,0,6.95E-308,1.45357e-311
-00:00:43:553,,393.857,0.557104,34.0387,1.05796,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,0.875,-0.125,0.875,-0.4375,-0.125,0,6.95E-308,1.45357e-311
-00:00:44:567,,393.3,-0.557104,34.0237,1.05749,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,1,-0.1875,1,-0.4375,-0.1875,0,6.95E-308,1.45357e-311
-00:00:45:580,,393.579,0.278551,33.9257,1.05444,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,0.9375,-0.25,0.9375,-0.4375,-0.25,0,6.95E-308,1.45357e-311
-00:00:46:592,,393.857,0.278553,33.9093,1.05393,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,0.8125,0,0.8125,-0.4375,0,0,6.95E-308,1.45357e-311
-00:00:47:593,,393.857,0,33.9583,1.05546,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,0.875,-0.1875,0.875,-0.5625,-0.1875,0,6.95E-308,1.45357e-311
-00:00:48:602,,393.857,0,33.6509,1.0459,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.8125,-0.0625,0.8125,-0.5,-0.0625,0,6.95E-308,1.45357e-311
-00:00:49:616,,394.136,0.278555,33.9257,1.05444,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,1.0625,-0.0625,1.0625,-0.625,-0.0625,0,6.95E-308,1.45357e-311
-00:00:50:627,,394.414,0.278558,33.8773,1.05294,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1.0625,-0.125,1.0625,-0.5625,-0.125,0,6.95E-308,1.45357e-311
-00:00:51:658,,394.693,0.27856,33.8784,1.05298,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.9375,0,0.9375,-0.5,0,0,6.95E-308,1.45357e-311
