,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,271.529,1.66449,,1.28867
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
-00:00:01:015,,271.529,0,34.3032,1.06618,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,0.5625,-0.0625,0.5625,-0.4375,-0.0625,0,4.17707e-317,3.02701e-306
-00:00:02:018,,270.419,-1.10971,34.3019,1.06614,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,0.75,-0.1875,0.75,-0.5625,-0.1875,0,4.17707e-317,3.02701e-306
-00:00:03:025,,269.864,-0.554842,33.7496,1.04897,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.6875,-0.0625,0.6875,-0.5,-0.0625,0,4.17707e-317,3.02701e-306
-00:00:04:037,,269.864,0,33.9128,1.05404,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,1.0625,0,1.0625,-0.5,0,0,4.17707e-317,3.02701e-306
-00:00:05:040,,270.142,0.27742,33.8785,1.05298,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.875,0.0625,0.875,-0.5,0.0625,0,4.17707e-317,3.02701e-306
-00:00:06:048,,270.142,0,33.8789,1.05299,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,0.8125,0,0.8125,-0.5625,0,0,4.17707e-317,3.02701e-306
-00:00:07:061,,269.587,-0.554837,33.7826,1.05,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,1,0.0625,1,-0.5,0.0625,0,4.17707e-317,3.02701e-306
-00:00:08:062,,270.697,1.10968,34.0404,1.05801,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.6875,1.0625,0,1.0625,-0.6875,0,0,4.17707e-317,3.02701e-306
-00:00:09:071,,269.864,-0.832266,33.814,1.05097,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,0.875,0,0.875,-0.5625,0,0,4.17707e-317,3.02701e-306
-00:00:10:083,,269.309,-0.554833,33.9598,1.0555,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,0.875,0,0.875,-0.4375,0,0,4.17707e-317,3.02701e-306
-00:00:11:086,,270.142,0.832253,33.894,1.05346,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,0.875,-0.0625,0.875,-0.5625,-0.0625,0,4.17707e-317,3.02701e-306
-00:00:12:094,,270.142,0,33.8132,1.05095,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1,-15.9375,1,-0.5625,-15.9375,0,4.17707e-317,3.02701e-306
-00:00:13:105,,270.697,0.554847,33.8462,1.05197,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.6875,1,0.0625,1,-0.6875,0.0625,0,4.17707e-317,3.02701e-306
-00:00:14:118,,270.142,-0.554847,33.8458,1.05196,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,0.9375,0.0625,0.9375,-0.5625,0.0625,0,4.17707e-317,3.02701e-306
-00:00:15:133,,269.587,-0.554837,33.8942,1.05347,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,1.125,-0.0625,1.125,-0.625,-0.0625,0,4.17707e-317,3.02701e-306
-00:00:16:144,,269.309,-0.277415,33.9271,1.05449,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,1,0.125,1,-0.625,0.125,0,4.17707e-317,3.02701e-306
-00:00:17:160,,269.864,0.554833,33.8787,1.05299,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,0.9375,0,0.9375,-0.625,0,0,4.17707e-317,3.02701e-306
-00:00:18:172,,269.587,-0.277418,33.8786,1.05298,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1.0625,0.0625,1.0625,-0.5625,0.0625,0,4.17707e-317,3.02701e-306
-00:00:19:184,,270.142,0.554837,33.9426,1.05497,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.6875,0.875,-0.125,0.875,-0.6875,-0.125,0,4.17707e-317,3.02701e-306
-00:00:20:198,,271.251,1.1097,33.9113,1.054,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,0.8125,0.125,0.8125,-0.4375,0.125,0,4.17707e-317,3.02701e-306
-00:00:21:211,,269.864,-1.38712,33.9585,1.05546,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.875,0.125,0.875,-0.5,0.125,0,4.17707e-317,3.02701e-306
-00:00:22:223,,270.142,0.27742,33.8303,1.05148,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1.0625,-0.0625,1.0625,-0.5625,-0.0625,0,4.17707e-317,3.02701e-306
-00:00:23:237,,269.864,-0.27742,33.9273,1.05449,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,1.0625,0.125,1.0625,-0.625,0.125,0,4.17707e-317,3.02701e-306
-00:00:24:251,,270.419,0.554842,33.7165,1.04794,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,0.9375,0,0.9375,-0.5625,0,0,4.17707e-317,3.02701e-306
-00:00:25:265,,270.419,0,33.8943,1.05347,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.6875,0.9375,0.1875,0.9375,-0.6875,0.1875,0,4.17707e-317,3.02701e-306
-00:00:26:276,,269.864,-0.554842,34.0073,1.05698,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,1,0.0625,1,-0.5,0.0625,0,4.17707e-317,3.02701e-306
-00:00:27:289,,269.587,-0.277418,33.9098,1.05395,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,1.0625,-0.0625,1.0625,-0.5,-0.0625,0,4.17707e-317,3.02701e-306
-00:00:28:302,,269.587,0,33.8458,1.05196,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,0.9375,0,0.9375,-0.5625,0,0,4.17707e-317,3.02701e-306
-00:00:29:319,,269.864,0.277418,33.8132,1.05095,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,1.0625,-0.0625,1.0625,-0.625,-0.0625,0,4.17707e-317,3.02701e-306
-00:00:30:321,,268.755,-1.10966,34.1528,1.0615,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1.0625,0.125,1.0625,-0.5625,0.125,0,4.17707e-317,3.02701e-306
-00:00:31:322,,269.587,0.832239,33.8139,1.05097,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.875,0,0.875,-0.5,0,0,4.17707e-317,3.02701e-306
-00:00:32:322,,269.587,0,34.0391,1.05797,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.6875,1.125,0,1.125,-0.6875,0,0,4.17707e-317,3.02701e-306
-00:00:33:324,,269.864,0.277418,33.8948,1.05348,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,1,0,1,-0.5,0,0,4.17707e-317,3.02701e-306
-00:00:34:325,,269.587,-0.277418,33.9265,1.05447,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,1,0,1,-0.625,0,0,4.17707e-317,3.02701e-306
